count,hour,minute,second,msec,x1,y1,z1,x2,y2,z2,x3,y3,z3,q1,q2,q3,pos1,pos2,pos3,vel1,vel2,vel3
2157,17,52,52,243,-0.156069,0.302531,1.41882,-0.374084,0.201283,1.47202,-0.559749,0.114279,1.4464,88,-61.1896,-24.7699,88.0012,53.1127,19.7994,-0.0734711,8.97034,11.6764
2158,17,52,52,279,-0.156069,0.302531,1.41882,-0.374084,0.201283,1.47202,-0.559749,0.114279,1.4464,88,-62.7119,-23.2484,87.9991,53.4959,20.1805,0.00617981,12.8046,10.3114
2159,17,52,52,311,-0.156069,0.302531,1.41882,-0.374084,0.201283,1.47202,-0.559749,0.114279,1.4464,88,-64.1511,-21.6367,87.9957,53.9525,20.4765,-0.054245,15.6232,7.85248
2160,17,52,52,344,-0.15571,0.301928,1.41847,-0.376375,0.205526,1.47388,-0.571606,0.140478,1.44811,88,-65.2567,-20.4995,87.9936,54.4977,20.7079,0,17.9558,5.47737
2161,17,52,52,380,-0.15571,0.301928,1.41847,-0.376375,0.205526,1.47388,-0.571606,0.140478,1.44811,88,-66.1044,-20.0191,87.995,55.1678,20.8555,0,19.9752,2.85095
2162,17,52,52,411,-0.15571,0.301928,1.41847,-0.376375,0.205526,1.47388,-0.571606,0.140478,1.44811,88,-66.706,-20.0163,87.9977,55.8064,20.9228,0.0357056,21.6815,1.37878
2163,17,52,52,457,-0.156744,0.30237,1.42126,-0.385248,0.223989,1.47382,-0.58304,0.167997,1.44557,88,-67.3457,-20.1842,87.9964,56.824,20.9523,0,22.8742,0.0480652
2164,17,52,52,479,-0.156744,0.30237,1.42126,-0.385248,0.223989,1.47382,-0.58304,0.167997,1.44557,88,-68.4329,-20.3228,87.9964,57.3562,20.9537,-0.00549316,22.7712,-0
2165,17,52,52,509,-0.156744,0.30237,1.42126,-0.385248,0.223989,1.47382,-0.58304,0.167997,1.44557,88,-69.7135,-20.3848,87.9957,58.0394,20.953,0,22.7479,-0.0679779
2166,17,52,52,545,-0.158584,0.303672,1.42461,-0.393529,0.238535,1.46896,-0.594357,0.188585,1.44819,88,-70.9473,-20.1133,87.9964,58.8311,20.9496,0.0679779,23.3858,-0.379715
